CAMPO,DESCRIPCION,LONGITUD,TIPO_DATO,RANGO_VALIDO,METADATOS
UPM,Unidad primaria de muestreo,7,Varchar,[],Unidad primaria de muestreo
VIV_SEL,Vivienda seleccionada,2,Varchar,[],Vivienda seleccionada 
HOGAR,Hogar,1,Varchar,[1-6],Número de Hogar en la vivienda
N_INF,Número de renglón del informante,2,Varchar,"[01-30], 99",Número de renglón del informante 
P4_1_1,"4.1 Por favor, dígame si dispone de Radio: (DEBEN ESTAR EN CONDICIONES DE USO)",1,Varchar,[1-2],"1 Sí, 2 No"
P4_1_2,2. Televisor analógico (de cinescopio),1,Varchar,[1-2],"1 Sí, 2 No"
P4_1_3,"3. Pantalla plana (televisor digital, LCD o LED)",1,Varchar,[1-2],"1 Sí, 2 No"
P4_1_4,4. Decodificador de TV digital abierta (diferente a TV de paga),1,Varchar,[1-2],"1 Sí, 2 No"
P4_1_5,5. Teléfono celular móvil (por cualquiera de los integrantes),1,Varchar,[1-2],"1 Sí, 2 No"
P4_1_6,6. Consola de videojuegos,1,Varchar,[1-2],"1 Sí, 2 No"
P4_2_1,"4.2 ¿Dispone de computadora de escritorio (teclado, monitor y CPU se encuentran separados)?",1,Varchar,[1-2],"1 Sí, 2 No"
P4_2_2,"¿Dispone de computadora portátil (teclado, monitor y CPU se encuentran integrados físicamente)?",1,Varchar,[1-2],"1 Sí, 2 No"
P4_2_3,"¿Dispone de tablet (teclado y puntero virtuales, en la pantalla táctil)?",1,Varchar,[1-2],"1 Sí, 2 No"
P4_3,"4.3 ¿Por qué no disponen de computadora, laptop o tablet?",1,Varchar,"[1-5], 8, b","1 Falta de recursos económicos,2 No les interesa,3 No saben usarla,4 Utilizan un Smartphone u otro dispositivo para conectarse a Internet,5 Otra razón,8 No responde,b blanco"
P4_3E,"4.3 ¿Por qué no disponen de computadora, laptop o tablet?",250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique,b blanco"
P4_4,4.4 ¿Disponen de conexión a Internet en el hogar?,1,Varchar,[1-2],"1 Sí, 2 No"
P4_5,"4.5 ¿La conexión a Internet es fija, móvil o de ambas?",1,Varchar,"[1-3], 9, b","1 Solo fija (la conexión solo puede realizarse en el interior o cercanía de la vivienda, e incluye conexión por WiFi),2 Solo móvil (la conexión mediante red celular por cualquiera de los integrantes del hogar),3 Ambas (fija y móvil),9 No sabe,b blanco,"
P4_6_1,4.6 ¿El medio de conexión fija es por: línea telefónica dedicada (con la que puede hablar por teléfono cuando está conectado a Internet)?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P4_6_2,Internet por cable (comúnmente asociada a TV de paga)?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P4_6_3,"conexión satelital (por una antena parabólica, no confundir con las antenas de plato que otorgan servicio como Sky o Dish)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P4_6_4,señal abierta de WiFi (externa a su hogar)?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P4_6_5,"línea telefónica por marcación (DIAL UP, mientras está conectado a Internet no puede hablar por teléfono)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P4_6_6,Otro medio,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P4_6_6E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique,b blanco"
P4_7_1,4.7 ¿Con qué equipo(s) hacen la conexión móvil: Con un celular inteligente (Smartphone)?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P4_7_2,"Con una computadora de escritorio y una tarjeta Banda Ancha Móvil, tipo USB",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P4_7_3,"Con una computadora portátil y una tarjeta Banda Ancha Móvil, tipo USB",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P4_7_4,Con una tablet con acceso a red móvil,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P4_7_5,Otro equipo,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P4_7_5E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique,b blanco"
P4_8,4.8 ¿Por qué no dispone de Internet en el hogar?,1,Varchar,"[1-8], b","1 Falta de recursos económicos (servicio incosteable),2 No les interesa o no lo necesitan,3 No sabe usarlo,4 Desconoce su utilidad,5 Equipo insuficiente o sin capacidad,6 No hay proveedor o infraestructura en su localidad,7 Otra razón,8 No responde,b blanco"
P4_8E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique,b blanco"
P5_1,5.1 ¿Disponen de servicio de televisión de paga?,1,Varchar,[1-2],"1 Sí, 2 No"
P5_2_1,5.2 ¿Lo reciben por cable?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P5_2_2,"vía satélite (Sky, Dish, etcétera)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P5_3,5.3 ¿Por qué no cuentan con servicios de televisión de paga?,1,Varchar,"[1-3], b","1 Falta de recursos económicos,2 No les interesa,3 Otra razón,b blanco"
P5_3E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique,b blanco"
P5_4,5.4 ¿Disponen de línea telefónica fija (puede ser telefonía celular fija)?,1,Varchar,"[1-2], b","1 Sí, 2 No"
P5_5_1,"5.5 VERIFIQUE Y CIRCULE LOS SERVICIOS QUE TIENE EN EL HOGAR (VEA: 4.4, 5.1 Y 5.4): Internet",1,Varchar,[1-2],"1 Sí, 2 No"
P5_5_2,TV de paga,1,Varchar,[1-2],"1 Sí, 2 No"
P5_5_3,Telefonía fija,1,Varchar,[1-2],"1 Sí, 2 No"
P5_5_4,Ninguno,1,Varchar,[1-2],"1 Sí, 2 No"
P5_6_1,"5.6 De los servicios de (OPCIÓN DE 5.5), ¿Dígame si los disponen en paquete o los reciben de manera separada?: 1. TV de paga, telefonía fija e Internet?",1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P5_7_1,"5.7 En el último mes, ¿cuál es el monto del pago realizado por el servicio de: 1. TV de paga, telefonía fija e Internet?",4,Varchar,"[0000-9999], b","0000 No paga,0001-9998 Monto del recibo más reciente,9999 No sabe,b blanco"
P5_8_1,"5.8 ¿Reciben sin pago el servicio: 1. TV de paga, telefonía fija e Internet?",1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
