CAMPO,DESCRIPCION,LONGITUD,TIPO_DATO,RANGO_VALIDO,METADATOS
UPM,Unidad primaria de muestreo,7,Varchar,[],Unidad primaria de muestreo
VIV_SEL,Vivienda seleccionada,2,Varchar,[],Vivienda seleccionada 
HOGAR,Hogar,1,Varchar,[1-6],Número de Hogar en la vivienda
N_REN,Número de renglón,2,Varchar,[01-30],Número de renglón
NOMBRE,"3.2 Dígame el nombre de los integrantes de su hogar, empezando por el jefe o la jefa. Incluya a los niños chiquitos, a los ancianos y personas con discapacidad.",30,Varchar,"[0-9, A-Z; Símbolos]",Nombre del residente
PAREN,3.3 ¿Qué es (NOMBRE) del jefe(a) del hogar?,1,Varchar,[1-6],"1 Jefe(a),2 Esposo(a) o compañero(a),3 Hijo(a),4 Nieto(a),5 Otro parentesco,6 Sin parentesco"
SEXO,3.4 (NOMBRE) es hombre (NOMBRE) es mujer,1,Varchar,[1-2],"1 Hombre, 2 Mujer"
EDAD,3.5 ¿Cuántos años cumplidos tiene (NOMBRE)?,2,Varchar,"[00-97], 99","00 Menos de un año,01-96 Años cumplidos,97  97 o más años,99 No sabe"
DIA,3.6 ¿En qué día y mes nació (NOMBRE)?,2,Varchar,"[01-31], 99, b","01-31 Día de nacimiento,99 No sabe,b blanco"
MES,3.6 ¿En qué día y mes nació (NOMBRE)?,2,Varchar,"[01-12], 99, b","01-12 Mes de nacimiento,99 No sabe,b blanco"
P3_7,3.7 ¿(NOMBRE) asiste actualmente a la escuela?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
NIVEL,3.8 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela?,2,Varchar,"[00-11], 99, b","00 Ninguno,01 Preescolar o kínder,02 Primaria,03 Secundaria,04 Normal básica,05 Estudio técnico terminal con secundaria,06 Preparatoria o bachillerato,07 Estudio técnico superior con preparatoria terminada,08 Licenciatura oingeniería,09 Especialidad,10 Maestría,11 Doctorado,99 No sabe,b blanco"
GRADO,3.8 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela?,1,Varchar,"[0-8], 9, b","0-8 Grado cursando o aprobado,9 No sabe,b blanco"
P3_9_1,"3.9 ¿En los últimos tres meses, ¿(NOMBRE) ha hecho uso de Computadora, laptop o tablet?",1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P3_9_2,"3.9 ¿En los últimos tres meses, ¿(NOMBRE) ha hecho uso de Internet?",1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P3_9_3,"3.9 ¿En los últimos tres meses, ¿(NOMBRE) ha hecho uso de Celular?",1,Varchar,"[1-2], 9, b","1 Sí,2 No,9 No sabe,b blanco"
P3_10,3.10 ¿La semana pasada (NOMBRE)…,1,Varchar,"[1-8], b","1 trabajó (por lo menos una hora)?,2 tenía trabajo, pero no trabajó?,3 buscó trabajo?,4 está jubilado(a) o pensionado(a)?,5 se dedicó a estudiar?,6 se dedicó a los quehaceres del hogar y/o al cuidado de sus hijos(as) u otro familiar?,7 es una persona con alguna limitación física o mental que le impide trabajar?,8 no trabajó?,b blanco"
P3_11,"3.11 Aunque ya me dijo que (NOMBRE) no trabajó, ¿la semana pasada…",1,Varchar,"[1-4], b","1 vendió o hizo algún producto para su venta?,2 prestó algún servicio a cambio de un pago (cortar cabello, dar clases, lavar ropa ajena)?,3 ayudó en las tierras o en el negocio de un familiar o de otra persona?,4 Entonces, ¿no trabajó?,b blanco"
P3_12,3.12 ¿En su trabajo o actividad de la semana pasada (NOMBRE) fue…,1,Varchar,"[1-5], b","1 empleado(a) u obrero(a)?,2 jornalero(a) o peón?,3 trabajador(a) por cuenta propia (no contrata trabajadores(as))?,4 patrón(a) o empleador(a) (contrata trabajadores(as))?,5 trabajador(a) sin pago en un negocio familiar o no familiar?,b blanco"
RESUL_H,Resultado del hogar,1,Varchar,[A],Resultado del hogar
CD_ENDUTIH,Ciudad de levantamiento,2,Varchar,"[01-70], b",Catálogo tc_ciudad
ENT,Entidad,2,Varchar,[01-32],Entidad
FAC_HOG,Factor,4,Varchar,[10-4150],Factor
UPM_DIS,Unidad primaria de muestreo,5,Varchar,[1-10006],Unidad primaria de muestreo
ESTRATO,Estrato,1,Varchar,[1-4],Estrato
EST_DIS,Estrato de diseño muestral,3,Varchar,[1-587],Estrato de diseño muestral
