CAMPO,DESCRIPCION,LONGITUD,TIPO_DATO,RANGO_VALIDO,METADATOS
UPM,Unidad primaria de muestreo,7,Varchar,[],Unidad primaria de muestreo
VIV_SEL,Vivienda seleccionada,2,Varchar,[],Vivienda seleccionada 
HOGAR,Hogar,1,Varchar,[1-6],Número de Hogar en la vivienda
N_REN,Número de renglón del elegido,2,Varchar,[01-30],Número de renglón del elegido 
P6_1,"6.1 En los últimos tres meses, ¿utilizó computadora, laptop o tablet en este hogar o fuera de él?",1,Varchar,[1-2],"1 Sí, 2 No"
P6_2_1,6.2 ¿Usted usa computadora de escritorio?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P6_2_2,"portátil (laptop, notebook)?",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P6_2_3,tablet?,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P6_3,"6.3 ¿Por qué no utiliza computadora, laptop o tablet?",1,Varchar,"[1-6], b","1 No tiene acceso a una, aunque sabe utilizarla,2 No sabe utilizarla,3 No tiene necesidad de una,4 Desconoce su utilidad,5 Por discapacidad física o mental,6 Otra razón,b blanco"
P6_3E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P6_4,"6.4 Generalmente, ¿cuántos días a la semana usa la computadora, laptop o tablet?",1,Varchar,"[1-5], b","1 Diario (entre dos y siete días),2 Al menos una vez a la semana,3 Al menos una vez al mes,4 Al menos una vez cada tres meses,5 Con otra frecuencia menor,b blanco"
P6_5,"6.5 En promedio, ¿cuántas horas al día usa la computadora, laptop o tablet?",2,Varchar,"[01-12], b","01-12 horas al día que utiliza la computadora,b blanco"
P6_6_1,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet?: Por cuenta propia",1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_6_2,En el trabajo,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_6_3,En la escuela,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_6_4,En cursos pagados fuera de la escuela,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_6_5,En cursos gratuitos fuera de la escuela,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_6_6,"Con parientes, amigos, conocidos o vecinos",1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_6_7,Otro modo,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_6_7E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P6_7_1,"6.7 ¿La computadora, laptop o tablet la utiliza en: 1. el hogar?",1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_7_2,2. el trabajo?,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_7_3,3. la escuela o institución educativa?,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_7_4,4. un sitio público con costo?,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_7_5,5. un sitio público sin costo?,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_7_6,6. casa de otra persona (amigo o familiar)?,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_7_7,7. cualquier otro lugar porque es una portátil?,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_7_8,8. Otro lugar,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_7_8E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P6_8_01,"6.8 Con la computadora, laptop o tablet, ¿usted sabe: 1. enviar y recibir correo electrónico?",1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_8_02,"2. descargar contenidos de Internet (música, vídeos, documentos, etc.) ?",1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_8_03,3. copiar archivos entre directorios (carpetas)?,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_8_04,4. crear archivos de texto?,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_8_05,5. crear hojas de cálculo?,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_8_06,6. crear presentaciones?,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_8_07,"7. instalar dispositivos periféricos (impresora, proyector, etc)?",1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_8_08,8. crear o usar bases de datos?,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_8_09,9. programar en lenguaje especializado?,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_8_10,10. Otras habilidades,1,Varchar,"[1-2],b","1 Sí,2 No,b blanco"
P6_8_10E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P6_9_1,"6.9 ¿Para qué usa la computadora, laptop o tablet?: Para actividades laborales",1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P6_9_2,Para labores escolares,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P6_9_3,Como medio de capacitación,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P6_9_4,Para entretenimiento,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P6_9_5,Para acceso a Internet,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P6_9_6,Otro uso,1,Varchar,"[1-2], b","1 Sí,2 No,b blanco"
P6_9_6E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_1,"7.1 En los últimos tres meses, ¿ha utilizado Internet en este hogar o fuera de él?",1,Varchar,[1-2],"1 Sí, 2 No"
P7_2,7.2 ¿Por qué no utiliza Internet?,1,Varchar,"[1-5], b","1 No tiene acceso,2 No sabe utilizarlo,3 No tiene necesidad de usarlo,4 Por discapacidad física o mental,5 Otra razón,b blanco"
P7_2E,Especifique,250,Varchar,"[0-9, A-Z; Símbolos], b","Especifique, b blanco"
P7_3,"7.3 Generalmente, ¿con qué frecuencia hace uso del Internet?",1,Varchar,"[1-5], b","1 Diario (entre dos y siete días),2 Al menos una vez a la semana,3 Al menos una vez al mes,4 Al menos una vez cada tres meses,5 Con otra frecuencia menor,b blanco"
P7_4,"7.4 En promedio, ¿cuántas horas al día utiliza Internet?",2,Varchar,"[01-12], b","01-12 Horas al día que utiliza Internet, b blanco"
