,CVE_ENT,CVE_MUN,CVE_MOD,CVE_TIPO,CVE_SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_DELITOS,VIVIENDA_ENDUTIH_2015
0,1,1,6,15,16,4,3,0,7,4,6,4,3,4,1,4,7,43,3
1,1,1,6,15,17,9,10,10,11,11,6,10,18,8,3,14,14,115,3
2,1,1,6,15,18,4,1,5,3,0,1,1,4,2,5,6,4,32,3
3,1,1,6,15,19,0,0,0,0,1,0,0,0,0,0,1,0,2,3
4,1,1,6,15,20,34,32,46,44,49,34,49,56,34,24,49,32,449,3
5,1,1,6,15,10,4,2,1,2,4,4,3,4,8,1,3,5,37,3
6,1,1,6,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7,1,1,6,16,16,172,151,181,155,170,182,173,168,158,144,201,171,1854,3
8,1,1,6,16,17,96,68,107,97,96,89,80,105,91,101,79,94,1007,3
9,1,1,6,16,18,114,106,122,124,138,94,89,93,126,105,152,171,1320,3
10,1,1,6,16,19,0,0,0,0,0,1,0,0,0,0,0,0,1,3
11,1,1,6,16,20,86,131,143,106,94,86,78,79,87,56,79,62,1001,3
12,1,1,6,16,10,190,206,231,188,201,177,176,186,185,203,226,235,2214,3
13,1,1,6,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
14,1,1,7,17,21,4,6,2,6,5,0,9,5,7,7,11,7,65,3
15,1,1,9,15,25,1,0,1,0,0,0,0,0,0,0,0,0,1,3
16,1,1,9,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3
17,1,1,9,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3
18,1,1,9,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3
19,1,1,9,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20,1,1,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21,1,1,9,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3
22,1,1,9,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3
23,1,1,9,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24,1,1,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25,1,1,9,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
26,1,1,9,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
27,1,1,8,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3
28,1,1,8,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3
29,1,1,8,15,24,0,1,0,0,0,0,0,1,0,0,0,0,2,3
30,1,1,8,15,10,0,0,0,0,0,0,0,0,0,1,1,0,2,3
31,1,1,8,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
32,1,1,8,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3
33,1,1,8,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3
34,1,1,8,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3
35,1,1,8,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
36,1,1,8,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
37,1,1,3,8,9,11,6,11,15,7,7,12,14,3,9,11,11,106,3
38,1,1,3,8,8,1,2,4,1,1,1,3,2,1,3,2,2,22,3
39,1,1,3,8,10,130,140,142,165,163,161,151,163,136,123,100,123,1567,3
40,1,1,3,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
41,1,1,3,9,9,0,0,1,0,0,0,0,0,0,0,0,0,1,3
42,1,1,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
43,1,1,3,9,10,42,32,72,98,93,94,82,84,87,89,83,89,903,3
44,1,1,3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
45,1,1,2,6,8,2,0,1,1,0,1,1,0,2,1,0,1,8,3
46,1,1,2,6,9,1,1,0,0,0,1,0,1,0,0,0,0,3,3
47,1,1,2,6,10,1,0,1,2,3,2,0,1,2,0,0,0,11,3
48,1,1,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
49,1,1,2,7,8,0,0,0,0,1,0,0,0,0,0,0,0,1,3
50,1,1,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
51,1,1,2,7,10,10,10,3,14,6,5,6,6,11,6,3,7,77,3
52,1,1,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
53,1,1,0,0,0,38,27,23,16,30,35,23,32,32,26,37,20,301,3
54,1,1,0,1,1,166,147,158,128,97,123,122,120,138,113,103,96,1345,3
55,1,1,0,2,2,1,3,0,2,6,1,0,3,2,4,4,2,27,3
56,1,1,0,3,3,103,54,89,99,73,100,93,68,71,84,66,65,862,3
57,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
58,1,1,0,4,5,15,11,11,12,9,15,6,14,14,17,8,8,125,3
59,1,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
60,1,1,5,14,15,0,0,1,1,0,0,0,1,0,1,0,0,4,3
61,1,1,1,5,7,4,4,6,16,4,10,8,7,5,9,6,6,81,3
62,1,1,4,10,11,87,97,80,103,80,98,83,83,67,87,65,61,904,3
63,1,1,4,11,12,1,2,3,3,0,4,0,0,0,1,1,1,15,3
64,1,1,4,12,13,15,10,11,14,19,22,21,15,13,18,14,13,170,3
65,1,1,4,13,14,182,216,208,201,230,248,268,263,249,258,228,225,2594,3
66,1,2,6,15,16,0,0,0,0,0,0,0,0,0,1,0,0,1,3
67,1,2,6,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3
68,1,2,6,15,18,0,0,0,0,0,0,0,0,0,1,0,1,2,3
69,1,2,6,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3
70,1,2,6,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3
71,1,2,6,15,10,0,0,0,0,0,0,1,0,0,0,0,0,1,3
72,1,2,6,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
73,1,2,6,16,16,1,0,0,0,1,3,0,6,0,2,0,0,12,3
74,1,2,6,16,17,0,0,0,0,1,2,0,2,1,0,2,0,8,3
75,1,2,6,16,18,0,0,0,0,0,1,2,0,1,1,1,3,9,3
76,1,2,6,16,19,0,0,0,0,0,0,1,0,0,0,0,0,1,3
77,1,2,6,16,20,1,0,1,0,1,1,1,0,0,1,1,0,6,3
78,1,2,6,16,10,4,2,5,2,1,4,4,4,1,11,6,0,40,3
79,1,2,6,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
80,1,2,7,17,21,2,0,0,0,5,1,4,5,0,0,6,0,21,3
81,1,2,9,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3
82,1,2,9,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3
83,1,2,9,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3
84,1,2,9,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3
85,1,2,9,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
86,1,2,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
87,1,2,9,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3
88,1,2,9,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3
89,1,2,9,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90,1,2,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3
91,1,2,9,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
92,1,2,9,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
93,1,2,8,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3
94,1,2,8,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3
95,1,2,8,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3
96,1,2,8,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
97,1,2,8,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
98,1,2,8,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3
99,1,2,8,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3
100,1,2,8,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3
101,1,2,8,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
102,1,2,8,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
103,1,2,3,8,9,0,0,2,0,1,1,0,0,0,0,0,0,4,3
104,1,2,3,8,8,0,0,0,0,1,0,0,0,0,0,0,0,1,3
105,1,2,3,8,10,2,1,2,2,1,3,2,8,1,1,4,1,26,3
106,1,2,3,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
107,1,2,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
108,1,2,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
109,1,2,3,9,10,0,1,1,2,0,6,2,1,2,1,1,0,17,3
110,1,2,3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
111,1,2,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
112,1,2,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
113,1,2,2,6,10,1,0,0,1,0,0,0,0,0,0,0,0,1,3
114,1,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
115,1,2,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
116,1,2,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
117,1,2,2,7,10,0,1,3,0,0,0,2,0,1,0,1,0,8,3
118,1,2,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
119,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3
120,1,2,0,1,1,1,1,0,1,0,3,3,0,1,1,2,1,13,3
121,1,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,3
122,1,2,0,3,3,3,0,1,2,1,0,1,1,0,0,0,0,6,3
123,1,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
124,1,2,0,4,5,0,0,0,0,0,0,1,0,0,0,0,0,1,3
125,1,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
126,1,2,5,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3
127,1,2,1,5,7,1,0,0,0,0,1,0,1,1,1,0,0,4,3
128,1,2,4,10,11,0,2,0,2,0,0,0,2,3,0,2,0,11,3
129,1,2,4,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3
130,1,2,4,12,13,0,1,1,0,0,0,0,1,1,0,0,0,4,3
131,1,2,4,13,14,4,1,2,4,1,3,4,2,1,2,7,0,27,3
132,1,3,6,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3
133,1,3,6,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3
134,1,3,6,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3
135,1,3,6,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3
136,1,3,6,15,20,0,0,0,0,0,0,0,0,1,0,0,0,1,3
137,1,3,6,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
138,1,3,6,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
139,1,3,6,16,16,10,6,4,8,13,11,7,5,9,11,5,6,85,3
140,1,3,6,16,17,2,8,2,2,3,3,3,1,6,4,3,4,39,3
141,1,3,6,16,18,3,3,3,1,0,2,0,0,1,0,0,0,10,3
142,1,3,6,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3
