,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,Cluster_km,Cluster_birch
0,5,2,1,1,1,1,1,4,1,1,1,1,1,0
1,1,3,1,1,1,1,1,7,1,1,1,1,1,0
2,3,3,1,1,1,1,1,8,1,1,1,1,1,0
3,4,3,1,1,1,1,1,5,1,1,1,1,1,0
4,5,3,1,1,1,1,1,6,1,1,1,1,1,0
5,2,3,1,1,1,1,1,3,1,1,1,1,1,0
6,3,3,1,1,1,1,1,3,1,1,1,1,1,0
7,4,3,1,1,1,1,1,5,1,1,1,1,1,0
8,5,2,1,1,1,1,1,4,1,1,1,1,1,0
9,1,2,1,1,1,1,1,5,1,1,1,1,1,0
10,2,2,1,1,1,2,2,2,1,1,1,1,1,0
11,3,3,1,1,1,1,1,2,1,1,1,1,1,0
12,5,2,1,1,1,1,1,8,1,1,1,1,1,0
13,1,3,1,1,1,1,1,5,1,1,1,1,1,0
14,2,3,1,1,1,1,1,4,1,1,1,1,1,0
15,3,3,1,1,1,1,1,5,1,1,1,1,1,0
16,4,3,1,1,1,1,1,4,1,1,1,1,1,0
17,5,3,1,1,1,1,1,4,1,1,1,1,1,0
18,1,3,1,1,1,1,1,4,1,1,1,1,1,0
19,2,3,1,1,1,1,1,2,1,1,1,1,1,0
20,3,3,1,1,1,1,1,1,1,1,1,1,1,0
21,5,3,1,1,1,1,1,4,1,1,1,1,1,0
22,1,3,1,1,1,1,1,3,1,1,1,1,1,0
23,2,3,1,1,1,1,1,3,1,1,1,1,1,0
24,3,3,1,1,1,1,1,3,1,1,1,1,1,0
25,4,3,1,1,1,1,1,8,1,1,1,1,1,0
26,5,3,1,1,1,1,1,5,1,1,1,1,1,0
27,1,3,1,1,1,1,1,5,1,1,1,1,1,0
28,2,3,1,1,1,1,2,2,1,1,1,1,1,0
29,3,3,1,1,1,1,2,6,1,1,1,1,1,0
30,4,3,1,1,1,1,1,4,1,1,1,1,1,0
31,5,3,1,1,1,1,1,5,1,1,1,1,1,0
32,1,3,1,1,1,1,1,3,1,1,1,1,1,0
33,2,3,1,1,1,1,1,2,1,1,1,1,1,0
34,3,3,1,1,1,1,2,7,1,1,1,1,1,0
35,4,3,1,1,1,1,1,4,1,1,1,1,1,0
36,5,3,1,1,1,1,1,3,1,1,1,1,1,0
37,1,3,1,1,1,1,1,1,1,1,1,1,1,0
